inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ALAIPUR COLLEGE,117394,College,KHULNA,RUPSA,ALAIPUR,89.585335,22.800629,1008,1
GOVT. AZAM KHAN COMMERCE COLLEGE,117165,College,KHULNA,KHULNA SADAR,PURBA POLICE LINE,89.568184,22.811646,1009,1
GOVT.SUNDARBAN ADARSHA COLLEGE,117167,College,KHULNA,KHULNA SADAR,DAROGA PARA,89.569542,22.806223,1010,1
GOVT MAJEED MEMORIAL CITY COLLEGE,117170,College,KHULNA,KHULNA SADAR,DOLEKHOLA,89.569664,22.806639,1011,1
RUPSHA COLLEGE,117391,College,KHULNA,RUPSA,BAGHMARA,89.604431,22.783751,1012,1
GOVT.PIONEER MOHILA COLLEGE,117166,College,KHULNA,KHULNA SADAR,BABU KHAN ROAD,89.571793,22.810417,1013,1
HAZI ABDUL MALEK ISLAMIA COLLEGE,117168,College,KHULNA,KHULNA SADAR,LABANCHARA (MADINABAD),89.580307,22.792295,1014,1
MOHSIN WOMEN COLLEGE,116955,College,KHULNA,DAULATPUR,BANANI PARA,89.516212,22.864985,1015,1
PAIKGACHA COLLEGE,117323,College,KHULNA,PAIKGACHHA,SARAL (PART),89.316978,22.591938,1016,1
KAPILMUNI COLLEGE,117322,College,KHULNA,PAIKGACHHA,NASIRPUR,89.309837,22.688389,1017,1
GOVT. BANGABANDHU COLLEGE,117393,College,KHULNA,RUPSA,AIJGANTI,89.568565,22.829733,1018,1
AL-HAJJ SARWAR KHAN  COLLEGE,117080,College,KHULNA,DIGHALIA,SENHATI,89.546303,22.883881,1019,1
SOBURENNESA GIRLS DEGREE COLLEGE,117169,College,KHULNA,KHULNA SADAR,DAKSHIN GAGAN BABU ROAD,89.575806,22.810637,1020,1
SHATADAL MAHABIDDYALIA,117460,College,KHULNA,TEROKHADA,CHAMTA,89.71736,22.90968,1021,1
NORTH KHULNA COLLEGE,117461,College,KHULNA,TEROKHADA,TEROKHADA,89.65736,22.8657,1022,1
CHITTRA MOHILA MAHA BIDDYALAYA,117462,College,KHULNA,TEROKHADA,TEROKHADA,89.66811,22.93785,1023,1
SHAPLA MOHABIDDALAI,117459,College,KHULNA,TEROKHADA,ATLIA,89.66807,22.93887,1024,1
CHANDPUR COLLEGE,117395,College,KHULNA,RUPSA,SHIALI,89.57594,22.91616,1025,1
GOVERMENT COMMERCIAL INSTITUTE KUNLNA,133155,College,KHULNA,SONADANGA,CHHOTA BOYRA DAKSHIN,89.66144,22.86701,1026,1
KHULNA IDEAL COLLEGE,117429,College,KHULNA,SONADANGA,KHULNA TEXTILE MILLS,89.544,22.81033,1027,1
KHULNA COLLEGE,117428,College,KHULNA,SONADANGA,MADHYA GOBARCHAKA,89.54861,22.81117,1028,1
AHSAN ULLAH COLLEGE,117427,College,KHULNA,SONADANGA,SEKH PARA,89.54275,22.81419,1029,1
SHAHID SUHRAWARDY COLLEGE,117426,College,KHULNA,SONADANGA,BANARGATI EXTENTION ROAD,89.55089,22.81519,1030,1
CITY GIRLS COLLEGE,117431,College,KHULNA,SONADANGA,UTTAR HAZI ISMAIL ROAD,89.54783,22.81986,1031,1
PHULTALA M.M.COLLEGE,117355,College,KHULNA,PHULTALA,DAMODAR,89.40253,22.93136,1034,2
FULTALA  DEGREE  MAHILA  COLLEGE,117356,College,KHULNA,PHULTALA,ALKA,89.44894,22.96583,1035,1
SARDER ABU HOSEN COLLEGE,117319,College,KHULNA,PAIKGACHHA,SHOLADANA,89.338,22.52778,1036,1
HARIDHALI KAPILMUNI GIRLS COLLEGE,117326,College,KHULNA,PAIKGACHHA,DAKSHIN SALUA,89.26644,22.69028,1037,1
SHAHEED AYUB & MUSA MEMORIAL DEGREE COLLEGE,117320,College,KHULNA,PAIKGACHHA,HOGLA CHAR,89.36333,22.48772,1038,1
KALINAGAR COLLEGE,117325,College,KHULNA,PAIKGACHHA,KALINAGAR,89.27803,22.61864,1039,1
FASIAR RAHAMAN WOMAN COLLEGE,117321,College,KHULNA,PAIKGACHHA,SARAL (PART),89.40353,22.547,1040,1
CHAND KHALI COLLEGE,117324,College,KHULNA,PAIKGACHHA,KALIDASPUR,89.30914,22.58556,1041,1
SHAPUR  MADHUGRAM  COLLEGE,117055,College,KHULNA,DUMURIA,MADHUGRAM,89.40261,22.61928,1042,1
KAPOTAKSHMA COLLEGE,117240,College,KHULNA,KOYRA,KOYRA,89.41458,22.40169,1043,1
KOYRA MoHILA COLLEGE,117239,College,KHULNA,KOYRA,KOYRA,89.31453,22.35206,1044,1
KHAN SAHEB KOMORUDDIN COLLEGE,117241,College,KHULNA,KOYRA,AMADI,89.27853,22.37553,1045,1
CANTONMENT PUBLIC SCHOOL AND COLLEGE,132029,College,KHULNA,PHULTALA,ATRA,89.49889,22.88325,1046,2
KHAN JAHAN ALI IDEAL COLLEGE,117128,College,KHULNA,PHULTALA,SHIRAMANI,89.50661,22.92267,1047,1
DAULATPUR COLLEGE (DAY-NIGHT),116953,College,KHULNA,DAULATPUR,UTTAR PABLA,89.48817,22.93325,1048,1
GOVT. B. L. COLLEGE,116954,College,KHULNA,DAULATPUR,DAULATPUR B. L. COLLEGE,89.52708,22.83389,1049,1
GOVT. HAZI MUHAMMAD MUHSIN COLLEGE,117109,College,KHULNA,KHALISHPUR,KHALISHPUR HOUSING EAST BLOCK,89.54858,22.8365,1050,1
KHULNA GOVERNMENT GIRLS COLLEGE,117107,College,KHULNA,KHALISHPUR,DAKSHIN BOYRA JUNCTION,89.53756,22.85967,1051,1
KHULNA ISLAMIA DEGREE COLLEGE,117430,College,KHULNA,SONADANGA,CHHOTA BOYRA PASCHIM,89.53303,22.83575,1052,1
RAYER MAHAL DEGREE COLLEGE,117110,College,KHULNA,KHALISHPUR,ROYER MAHAL (PART I & II),89.53914,22.84336,1053,1
METROPOLITON COLLEGE,117432,College,KHULNA,SONADANGA,SABUJBAG(K.D.A R/A),89.51631,22.84347,1054,1
CHUKNAGAR COLLEGE,117053,College,KHULNA,DUMURIA,CHUKNAGAR,89.32419,22.82519,1055,1
MODEL MOHILA COLLEGE,117051,College,KHULNA,DUMURIA,CHUKNAGAR,89.30219,22.83589,1056,1
SHAHiD SMRITI MOHILA COLLEGE,117054,College,KHULNA,DUMURIA,DUMURIA,89.44292,22.79992,1057,1
DR. S.K. BAKAR COLLEGE,117058,College,KHULNA,DUMURIA,DHAMALIA,89.37597,22.93275,1058,1
RANGPUR COLLEGE,117057,College,KHULNA,DUMURIA,RANGPUR,89.46036,22.89228,1059,1
POLLISREE COLLEGE,117050,College,KHULNA,DUMURIA,MANDARTALA,89.48156,22.86989,1060,1
SAYED EASHA TECNICAL & BUSINESS MANAGEMENT COLLEGE,132766,College,KHULNA,DUMURIA,GOLNA,89.25844,22.84315,1061,1
SWARNADEEP MAHADIDYALAYA,117059,College,KHULNA,DUMURIA,KAIPUKURIA,89.35807,22.81142,1062,1
DUMURIA COLLEGE,117052,College,KHULNA,DUMURIA,ARAZI DUMURIA,89.41978,22.7994,1063,1
MOULANA BHAShANI MEMOrial COLLEGE,117056,College,KHULNA,DUMURIA,SARAPPUR,89.42282,22.80309,1064,1
ALHAJ MOLLA JALAL UDDIN COLLEGE,133817,College,KHULNA,DIGHALIA,KETLA,89.55624,22.88125,1065,1
M A MAJID DEGREE COLLEGE,117079,College,KHULNA,DIGHALIA,DIGHALIA,89.52836,22.93964,1066,1
MAHESWARPASHA SHAHID ZIA COLLEGE,116952,College,KHULNA,DAULATPUR,MAHESHWAR PASHA,89.52181,22.87383,1067,1
BAJUA SURENDRA NATH MAHABIDDALAYA,116923,College,KHULNA,DACOPE,BAJUA,89.56839,22.52872,1068,1
GOVT.L.B.K. DEGREE  WOMEN'S COLLEGE,116925,College,KHULNA,DACOPE,LAUDUBI,89.56453,22.53028,1069,1
CHALNA MOBARAK MEMORIAL COLLEGE,116924,College,KHULNA,DACOPE,PANKHALI,89.52206,22.60636,1070,1
CHALNA COLLEGE,116928,College,KHULNA,DACOPE,CHHOTA CHALNA,89.47839,22.64411,1071,1
CHALNA MOHILA COLLEGE,116922,College,KHULNA,DACOPE,CHALNA PURBA PARA,89.50889,22.60778,1072,1
SAHID ABDUL KASHEM COLLEGE,116869,College,KHULNA,BATIAGHATA,RAJBANDH,89.46317,22.55389,1073,1
BATIAGHATA MAHAVIDYALA,116865,College,KHULNA,BATIAGHATA,BATIAGHATA,89.49222,22.79034,1074,1
KHAGENDRANATH MOHILA COLLEGE,116868,College,KHULNA,BATIAGHATA,BOYARBHANGA,89.54314,22.67167,1075,1
GARIARDANGA ADARSHA COLLEGE,116871,College,KHULNA,BATIAGHATA,GARIARDANGA,89.44014,22.66459,1076,1
BAROARIA SHAHID SMARANI COLLEGE,116867,College,KHULNA,BATIAGHATA,BARA ARIA,89.47213,22.72336,1077,1
MUKTIJODDHA COLLEGE,116870,College,KHULNA,BATIAGHATA,KRISHNANAGAR,89.46808,22.7308,1078,1
NACHUNIA JUNARI DHAKIL MADRASAH,117454,Madrasha,KHULNA,TEROKHADA,JUNARI,88.97658,24.09994,5935,1
KHADIZATUL qUBRA r  MAHILA DHAKHIL MADRASAH,117457,Madrasha,KHULNA,TEROKHADA,KHARBARIA,89.7272,22.92621,5936,1
ATALIA SIDDIQUIA ALIM MADRASAH,117453,Madrasha,KHULNA,TEROKHADA,ATLIA,89.72812,22.9273,5937,1
IKHORI DAKHIL MADRASAH,117455,Madrasha,KHULNA,TEROKHADA,TEROKHADA,89.67317,22.93125,5938,1
PANTITA ISLAMIA DAKHIL MADRASAH,117451,Madrasha,KHULNA,TEROKHADA,PANTITA,89.68519,22.93466,5939,1
CHANDPUR DAKHIL MADRASAH,117384,Madrasha,KHULNA,RUPSA,DAKSHIN BAMUNDANGA,89.62185,22.85433,5940,1
AL FARUQUE  SOCIETY  DAKHIL MADRASA,117425,Madrasha,KHULNA,SONADANGA,SONADANGA,89.537,22.83522,5941,1
MUHAMMADNAGAR  ISLAMIA  DAKHIL  MADRASAh,117424,Madrasha,KHULNA,SONADANGA,SONADANGA NEW MARKET,89.53714,22.82989,5942,1
DARUL QURAN  SIDDIKiA  KAMIL MADRASA,117421,Madrasha,KHULNA,SONADANGA,BASU PARA,89.55219,22.82081,5943,1
TALIMUL MILLAT RAHMATIA FAZIL MADRASah,117422,Madrasha,KHULNA,SONADANGA,UTTAR GOBARCHAKA MAIN ROAD,89.54528,22.82731,5944,1
MUHAMMADNAGAR WOMEN,S KAMIL MADRASAH.,117423,Madrasha,KHULNA,SONADANGA,SONADANGA,89.54089,22.81744,5945,1
JOGINIPASHA DAKHIL MADRASHA,117354,Madrasha,KHULNA,PHULTALA,JOGINI PASHA,89.46799,22.96192,5947,1
KAZI ABU MOKARRAM FAZLUL BARI DAKHIL MADRASHA,117348,Madrasha,KHULNA,PHULTALA,PAYGRAM KASBA,89.47661,22.94778,5948,1
JAMIRA BAZAR PIPRAIL SIDDIkIA FAZIL MADRASAH,117350,Madrasha,KHULNA,PHULTALA,PIPRAIL,89.43897,22.98817,5949,1
KHARIA DAKHIL MADRASHA,117305,Madrasha,KHULNA,PAIKGACHHA,RARULI,89.43144,22.95885,5952,2
LASHKAR PAIK GACHA ISLAMIA  DAKHIL MADRASHA,117301,Madrasha,KHULNA,PAIKGACHHA,PAIKGACHHA,89.44014,22.95772,5953,2
PATKEL POTA DAKHIL MADRASAH,117307,Madrasha,KHULNA,PAIKGACHHA,CHAR BANDA,89.38594,22.65519,5954,1
CHAND KHALI SULTANIA DAKHIL MADRASAH,117310,Madrasha,KHULNA,PAIKGACHHA,KALIDASPUR,89.25656,22.56642,5955,1
HABIB  NAGAR M.K.D.S.B. FAZIL MADRASHA,117297,Madrasha,KHULNA,PAIKGACHHA,RAMNATHPUR,89.26964,22.53725,5956,1
UTTAR SALUA A. HAI SIDDIQUI DAKHIL MADRASAH,117302,Madrasha,KHULNA,PAIKGACHHA,UTTAR SALUA,89.28103,22.68219,5958,1
SONATANKATI ALHERA DAKHIL MADRASHA,117315,Madrasha,KHULNA,PAIKGACHHA,SONATANKATI,89.29667,22.6715,5959,1
AL-AMIN MOHILA DAKHIL MADRASHA,117316,Madrasha,KHULNA,PAIKGACHHA,TAKIA,89.33642,22.58225,5960,1
FAKIRABAD SHANTA AL HAZ NURUL hAQUE Dakhil MADRASah,117309,Madrasha,KHULNA,PAIKGACHHA,GARUIKHALI,89.34739,22.51886,5961,1
PATRA BUNIA ALIM MADRASAH,117300,Madrasha,KHULNA,PAIKGACHHA,NURPUR AMIRPUR,89.39894,22.51072,5962,1
RARULI ALIM MADRASAH,117304,Madrasha,KHULNA,PAIKGACHHA,CHURADANGA BURHANPUR,89.35636,22.68889,5963,1
HARIDAS KATI H.U.N. MOHILA DAKHIL MADRASHA,117317,Madrasha,KHULNA,PAIKGACHHA,HARIDASKATI,89.38519,22.63769,5964,1
MATHBATI G.G.P.G  DAKHIL MADRASA,117298,Madrasha,KHULNA,PAIKGACHHA,MATHBARI,89.26142,22.62652,5965,1
PAIK GACHA SINIOR ALIM MADRASHA,117308,Madrasha,KHULNA,PAIKGACHHA,BATIKHALI (PART),89.43589,22.61714,5966,1
GAZALIA KALUA ALIM MADRASHA,117306,Madrasha,KHULNA,PAIKGACHHA,GAJALIA,89.32064,22.58925,5967,1
KAWALI DAKHIL MADRASAH,117311,Madrasha,KHULNA,PAIKGACHHA,KAOALI,89.31833,22.58652,5968,1
KOYRA UTTAR CHAK AMINIA MULTILATERAL KAMIL MADRASA,117211,Madrasha,KHULNA,KOYRA,KOYRA,89.44047,22.63289,5969,1
KOYRA MODINABAD DARUSSALAM MOHILA D. MADRASHA,117229,Madrasha,KHULNA,KOYRA,KOYRA,89.44056,22.61969,5970,1
KAYRA ASCHIN MOHILA DAKIL MADRASHA,117226,Madrasha,KHULNA,KOYRA,KOYRA,89.38997,22.46483,5971,1
GOBRA DAKHIL MADRASAH,117232,Madrasha,KHULNA,KOYRA,MADINABAD,89.31433,22.35342,5972,1
KOYRA SIDDIQEA MALTILEAL FAZIL MADRASA,117212,Madrasha,KHULNA,KOYRA,KOYRA,89.29158,22.33828,5973,1
DEARA ANTABUNIA DAKHIL MADRASHA,117228,Madrasha,KHULNA,KOYRA,KALNA,89.29114,22.34703,5974,1
KALNA AMINIA FAZIL MADRASAH,117213,Madrasha,KHULNA,KOYRA,KALNA,89.29094,22.34517,5975,1
KALNA GIRLS DAKHIL MADRASA,117230,Madrasha,KHULNA,KOYRA,KALNA,89.30944,22.38119,5976,1
M.M. DARUS SUNNAH DAKHIL MADRASHA,117237,Madrasha,KHULNA,KOYRA,KHARIA MATHBARI,89.3235,22.35314,5977,1
M.A. DARUL EHSAN DAKHIL MADRASHA,117236,Madrasha,KHULNA,KOYRA,DAKSHIN DEARA,89.28908,22.39758,5978,1
P.K. S . A DARUSSUNNAH DAKHIL MADRASHA,117231,Madrasha,KHULNA,KOYRA,KALNA,89.28033,22.36836,5979,1
ARJUNPUR HASANIA DAKHIL MADRASHA,117219,Madrasha,KHULNA,KOYRA,ARJUNPUR,89.32275,22.46719,5980,1
BE.SIN .MIM BAYLAHARANIA ALIM MADRASHA,117221,Madrasha,KHULNA,KOYRA,BAILA HARANI,89.327,22.43036,5981,1
KUSHODANGA  ALHAZ KOMOR UDDIN ALIM MADRASHA,117222,Madrasha,KHULNA,KOYRA,KUSADANGA,89.29014,22.42347,5982,1
GHUGRAKATI FAZIL MADRASHA,117214,Madrasha,KHULNA,KOYRA,GHUGRAKATI,89.29383,22.40597,5983,1
NARAN PUR MOHILA DAKHIL MADRASHA,117233,Madrasha,KHULNA,KOYRA,NARAYANPUR,89.31878,22.41011,5984,1
SUNDER BON SIDDQUIA DAKHIL MADRASHA,117218,Madrasha,KHULNA,KOYRA,DAKSHIN BEDKASHI,89.27381,22.41139,5985,1
BEDKASHI HABIBIA DAKHIL MADRASAH,117216,Madrasha,KHULNA,KOYRA,UTTAR BEDKASHI,89.31753,22.24089,5986,1
BEZPARA HAYATUNNESA DAKHIL MADRASHA,117220,Madrasha,KHULNA,KOYRA,BHANDAR POLE,89.34017,22.33647,5987,1
KHIROL MOHILA DAKHIL MADRASHA,117235,Madrasha,KHULNA,KOYRA,KHIRAL,89.31553,22.50086,5988,1
CHANNIR CHAK B.K. DAKHIL MADRASAH,117234,Madrasha,KHULNA,KOYRA,AMADI,89.27811,22.45756,5989,1
D. F. NAKSHA ALIM MADRASAH,117215,Madrasha,KHULNA,KOYRA,NAKSA,89.30914,22.49969,5990,1
JOYPUR SHIMARAIT DARUSSUNNA DAKHIL MADRASHA,117224,Madrasha,KHULNA,KOYRA,SHIMULIA RAIT,89.32444,22.48844,5991,1
DAKKEN MAHESWARIPUR DAKHIL MADRASHA,117227,Madrasha,KHULNA,KOYRA,MAHESWARIPUR,89.34911,22.46736,5992,1
CHOWKUNI ISLAMIA DAKHIL MADRASHA,117225,Madrasha,KHULNA,KOYRA,CHAUKANNI,89.33675,22.45811,5993,1
SATHALIA GAUSUL AZAM DAKHIL MADRASHA,117223,Madrasha,KHULNA,KOYRA,SHARISHAMUTI,89.40186,22.39369,5994,1
KAKRABUNIA SIRAJIA DAKHIL MADRASHA,116919,Madrasha,KHULNA,DACOPE,GARKHALI,89.41653,22.46294,5995,1
DEANA MOHILA DAKHIL MADRASA,131553,Madrasha,KHULNA,DAULATPUR,DEANA (PART),89.49889,22.88325,5996,2
MIRERDANGA ISLAMIA ALIM MADRASA,117125,Madrasha,KHULNA,KHAN JAHAN ALI,JUGIPOLE,89.50933,22.89583,5997,1
GILATALA AHAMADIA DAKHIL MADRASAH,117126,Madrasha,KHULNA,PHULTALA,GILATALA,89.50175,22.92119,5998,1
MOSHIALI DARUL ULUM DAKHIL MADRASAH,117352,Madrasha,KHULNA,PHULTALA,JOGINI PASHA,89.49939,22.89906,5999,1
SHIROMONI ALIM MADRASHA,117127,Madrasha,KHULNA,PHULTALA,ATRA,89.49106,22.93703,6000,1
CRESCENT  ALIM MADRASAH,117106,Madrasha,KHULNA,KHALISHPUR,GOAL PARA,89.53364,22.85775,6001,1
KHULNA  NESARIA KAMIL MADRASHA,117105,Madrasha,KHULNA,KHALISHPUR,MADHYA MUZGUNNI,89.52753,22.84689,6002,1
DEARA JUGIHATI aMINIA ALIM MADRASHA,117382,Madrasha,KHULNA,RUPSA,AIJGANTI,89.54008,22.842,6003,1
GODAIPUR MOHILA DAKHIL MADRASAH,117312,Madrasha,KHULNA,PAIKGACHHA,GADAIPUR,89.48594,22.80369,6004,1
CHUKNAGAR HASANIA DAKHIL MADRASHA,117036,Madrasha,KHULNA,DUMURIA,CHUKNAGAR,89.28017,22.84,6005,1
NURANIA ISLAMIA FAZIL MADRASA,117026,Madrasha,KHULNA,DUMURIA,NARNIA,89.31658,22.83611,6006,1
CHUKNAGAR N.D.S GIRLS DAKHIL MADRASHA,117034,Madrasha,KHULNA,DUMURIA,NARNIA,89.29431,22.84119,6007,1
THUKRA ISLAMIA WAZADIA DAKHIL MADRASHA,117030,Madrasha,KHULNA,DUMURIA,THUKURA,89.29342,22.84461,6008,1
KOMRAIL R.D.P.T. FARUQUIA DAKHIL MADRASHA,117043,Madrasha,KHULNA,DUMURIA,KOMRAIL,89.46461,22.74506,6009,1
ANDULIA KADERIA DAKHIL MADRASHA,117032,Madrasha,KHULNA,DUMURIA,ANDULIA,89.39567,22.89111,6010,1
MADHUGRAM ISLAMIA ALIM MADRASAH,117029,Madrasha,KHULNA,DUMURIA,MADHUGRAM,89.39028,22.86656,6011,1
CHAHERA S.K. DAKHIL MADRASHA,117028,Madrasha,KHULNA,DUMURIA,CHAIRA,89.37744,22.85981,6012,1
