inst name, eiin, inst_type, district, thana, mauza, long, lat, serial,isUnique
ALHAJ ERSHD ALI WOMENS COLLEGE,126261,College,RAJSHAHI,BAGHA,JOTRAGHU (PART) UTTAR,88.599991,24.366661,1808,1
MOHABBAT PUR KHANPUR DEGREE COLLEGE,126842,College,RAJSHAHI,MOHANPUR,KHANPUR,88.10606,24.69178,1809,1
TALANDA  LALIT  MOHON  DEGREE  COLLEGE,127144,College,RAJSHAHI,TANORE,TALONDA,88.50331,24.60369,1810,1
TANORE MOHILA DEGREE COLLEGE,127136,College,RAJSHAHI,TANORE,CHAPRA,88.58869,24.61636,1811,1
ABDUL KARIM SARKER DRGREE COLLEGE,127146,College,RAJSHAHI,TANORE,PASCHIM TANORE,88.57633,24.59028,1812,1
KALIGONJ HAT DEGREE COLLEGE,127138,College,RAJSHAHI,TANORE,PASCHIM RAYTAN BARSHOW,88.574,24.57542,1813,1
FAZAR ALI MOLLA DEGREE COLLEGE,127140,College,RAJSHAHI,TANORE,PACHANDAR,88.48925,24.58303,1814,1
MONDUMALA  WOMENS  DEGREE  COLLEGE,127143,College,RAJSHAHI,TANORE,SADIPUR,88.56981,24.54106,1815,1
KRISHNAPUR ADARSHA WOMEN S COLLEGE,127145,College,RAJSHAHI,TANORE,KRISHNAPUR,88.53711,24.55672,1816,1
CENTRAL COLLEGE,127137,College,RAJSHAHI,TANORE,MAHADEBPUR,88.61578,24.64033,1817,1
MADARIPUR IDEAL COLLEGE,127139,College,RAJSHAHI,TANORE,MADARIPUR,88.53558,24.61064,1818,1
KOYEL ADRASAHA COLLAGE,127147,College,RAJSHAHI,TANORE,KOIL,88.53811,24.64517,1819,1
SARANJI DEGREE COLLAGE,127141,College,RAJSHAHI,TANORE,SARANJAI,88.48894,24.57392,1820,1
MAHANAGAR MAHABIDDYALAYA,126491,College,RAJSHAHI,BOALIA,ASSAM COLONY,88.54603,24.54414,1821,1
RAJSHAHI GOVT. COMMERCIAL INSTITUTE,133460,College,RAJSHAHI,SHAH MAKHDUM,ROAD NAODA PARA,88.60839,24.41086,1822,1
METROPOLITAN  COLLEGE,126486,College,RAJSHAHI,SHAH MAKHDUM,PABA NATUN PARA,88.62569,24.40514,1823,1
RAJSHAHI COURT COLLEGE,127039,College,RAJSHAHI,RAJPARA,HAROGRAM PURBA PARA,88.60683,24.40425,1824,1
EVER GREEN MODEL COLLEGE,RAJSHAHI,131994,College,RAJSHAHI,SHAH MAKHDUM,SEKH PARA,88.55894,24.38075,1825,1
HAJI JAMIRUDDIN SHAFINA MOHILA COLLEGE,127037,College,RAJSHAHI,RAJPARA,BHATA PARA(HELENABID COLONU),88.57578,24.37094,1826,1
NEW GOVT. DEGREE COLLEGE,127038,College,RAJSHAHI,RAJPARA,KAZIHATA,88.57956,24.36381,1827,1
PUTHIA MOHILA DEGREE COLLEGE,127016,College,RAJSHAHI,PUTHIA,KANTHALBARIA (UTTAR),88.82939,24.38439,1828,1
PUTHIA ISLAMIA MOHILA COLLEGE,127015,College,RAJSHAHI,PUTHIA,KRISHNAPUR,88.81733,24.38783,1829,1
LASKHERPUR DEGREE MAHAVIDYA NIKETAN,127014,College,RAJSHAHI,PUTHIA,PUTHIA,88.83206,24.37267,1830,1
BANESWAR COLLEGE,127013,College,RAJSHAHI,PUTHIA,BANESHWAR,88.79519,24.38314,1831,1
BIRALDAH COLLEGE,127012,College,RAJSHAHI,PUTHIA,MAIPARA,88.77211,24.38417,1832,1
JAMIRA COLLEGE,127019,College,RAJSHAHI,PUTHIA,JAMIRA,88.73656,24.37825,1833,1
BELPUKURIA WOMENS COLLEGE,127011,College,RAJSHAHI,PUTHIA,BELPUKURIA,88.72608,24.34669,1834,1
IDEAL DEGREE COLLEGE,127010,College,RAJSHAHI,PUTHIA,BELPUKURIA,88.72736,24.34553,1835,1
DHOPA PARA MEMORIAL DEGREE COLLEGE,127021,College,RAJSHAHI,PUTHIA,DHOPA PARA,88.87919,24.37408,1836,1
POCHAMARIA DEGREE COLLEGE,127017,College,RAJSHAHI,PUTHIA,PACHAMARIA,88.89942,24.51108,1837,1
PANGU SHISHU NIKETON S A   DEGREE COLLEGE,127020,College,RAJSHAHI,PUTHIA,BIDIRPUR,88.80592,24.34922,1838,1
SHYAMPUR COLLEGE,126931,College,RAJSHAHI,PABA,SHYAMPUR MAULAVIPARA,88.67714,24.36575,1839,1
NAOHATA DEGREE COLLEGE,126933,College,RAJSHAHI,PABA,NOAHATA,88.66008,24.35606,1840,1
NOWHATA WOMEN'S DEGREE COLLEGE,126932,College,RAJSHAHI,PABA,MAHANANDAKHALI,88.65956,24.35586,1841,1
VERAPORA ADARSHA COLLEGE,126937,College,RAJSHAHI,PABA,HAIDARHAT,88.64867,24.48439,1842,1
DAMKURAHAT COLLEGE,126929,College,RAJSHAHI,PABA,MADHUPUR,88.66908,24.50281,1843,1
DARSHANPARA SHAHEED KAMRUZZAMAN COLLEGE,126936,College,RAJSHAHI,PABA,DARSHAN PARA,88.54733,24.48442,1844,1
KASHIA DANGA COLLEGE,126934,College,RAJSHAHI,PABA,KASHIADANGA (PART-B),88.54486,24.38472,1845,1
ADARSHA DEGREE COLLGE,126930,College,RAJSHAHI,PABA,HARIAN,88.67969,24.37906,1846,1
DANGER HAT  WOMENS  COLLEGE,131948,College,RAJSHAHI,PABA,SAHAPUR,88.55328,24.44478,1847,1
DARUSHA COLLEGE,126927,College,RAJSHAHI,PABA,SARISHAKURI,88.53575,24.44006,1848,1
HAT RAMCHANDRAPUR DEGREE COLLEGE,126935,College,RAJSHAHI,PABA,RAMCHANDRAPUR,88.68736,24.43781,1849,1
KABI KAZI NAZRUL ISLAM COLLEGE,126926,College,RAJSHAHI,PABA,KHARKHARIA,88.69711,24.40667,1850,1
MOTIHAR COLLEGE,131972,College,RAJSHAHI,MATIHAR,BAZE KAZLA PURBA,88.67014,24.42286,1852,1
ISLAMIA  COLLEGE,126482,College,RAJSHAHI,MATIHAR,BINODPUR,88.64181,24.36161,1853,1
KAMELA HAQUE DEGREE COLLEGE,126772,College,RAJSHAHI,MATIHAR,MIRZAPUR,88.64667,24.36089,1854,1
KHAL GRAM BISHNOPUR COLLAGE,126436,College,RAJSHAHI,BAGHMARA,KHALGRAM,88.64514,24.36778,1855,1
KESHAR HAT DEGREE COLLEGE,126840,College,RAJSHAHI,MOHANPUR,ROYGHATI,88.63175,24.36511,1856,1
DHAMIN NAOGAON IDEAL COLLEGE,126851,College,RAJSHAHI,MOHANPUR,DHAMIN NAOGAON,88.65936,24.37697,1857,1
KESHOR HAT WOMENS COLLEGE,126849,College,RAJSHAHI,MOHANPUR,ROYGHATI,88.67928,24.63075,1858,1
DHOPAGHATA DEGREE COLLEGE,126850,College,RAJSHAHI,MOHANPUR,GOBINDAPUR,88.64594,24.54678,1859,1
MOHANPUR GIRLS DEGREE COLLEGE,126847,College,RAJSHAHI,MOHANPUR,BAKSHIMAIL,88.651,24.561,1860,1
MOHON PUR DEGREE COLLEGE,126841,College,RAJSHAHI,MOHANPUR,BAKSHIMAIL,88.62581,24.51661,1861,1
MOHAN PUR MAHILA COLLEGE,126846,College,RAJSHAHI,MOHANPUR,SAIPARA,88.65397,24.56722,1862,1
ATRAI AGRANI DEGREE COLLEGE,126843,College,RAJSHAHI,MOHANPUR,ATRAI,88.67722,24.51414,1863,1
SHYAMPUR HAT  DEGREE  COLLEGE,126845,College,RAJSHAHI,MOHANPUR,SHYAMPUR,88.62806,24.60528,1864,1
PAKURIA  COLLEGE,126848,College,RAJSHAHI,MOHANPUR,TAHIRPUR,88.67722,24.55519,1865,1
DURGA PUR ADARSHA  WOMENS COLLEGE,131979,College,RAJSHAHI,MOHANPUR,DURGAPUR,88.70578,24.53764,1866,1
BASANTA KEDAR COLLEGE,126844,College,RAJSHAHI,MOHANPUR,BASANTA KEDAR,88.66067,24.51869,1867,1
MOUGACHHI  COLLEGE,126852,College,RAJSHAHI,MOHANPUR,BATU PARA,88.6305,24.51056,1868,1
GODARARI MAHILA DEGREE COLLEGE,126759,College,RAJSHAHI,GODAGARI,MAHISHALBARI,88.601,24.54528,1869,1
KAKAN HAT COLLEGE,126757,College,RAJSHAHI,GODAGARI,PANCH GACHHIA,88.31225,24.49131,1870,1
PALPUR DARAMPUR COLLEGE,126764,College,RAJSHAHI,GODAGARI,PALPUR,88.45578,24.39253,1871,1
RAJABARI MAHABIDDALAYA,126763,College,RAJSHAHI,GODAGARI,BIJOYNAGAR,88.518,24.45558,1873,1
GODAGARI  COLLEGE,126762,College,RAJSHAHI,GODAGARI,JOT GOSAIDAS,88.37858,24.46097,1874,1
PREMTALI DEGREE COLLEGE,126761,College,RAJSHAHI,GODAGARI,KANTHALBARIA,88.37108,24.41661,1875,1
MATIKATA ADARSHA DEGREE COLLEGE,126760,College,RAJSHAHI,GODAGARI,UJAN PARA,88.40072,24.42972,1876,1
PAKRI COLLEGE,126758,College,RAJSHAHI,GODAGARI,PAKRI,88.43844,24.50892,1877,1
DHOKRAKUL DEGREE COLLEGE,127018,College,RAJSHAHI,PUTHIA,DHOKRAKUL,88.44572,24.55778,1878,1
DURGAPURdigree COLLEGE,126659,College,RAJSHAHI,DURGAPUR,SINGA,88.75983,24.525,1879,1
DURGAPUR WOMANS COLLEGE,126664,College,RAJSHAHI,DURGAPUR,DURGAPUR KALIDAH,88.76014,24.44231,1880,1
DHARAMPUR COLLEGE,126665,College,RAJSHAHI,DURGAPUR,DHARMAPUR (PART),88.76758,24.44731,1881,1
BAKHTIARPUR DEGREE COLLEGE,126662,College,RAJSHAHI,DURGAPUR,LAKSHMAN KHALSI,88.71786,24.47347,1882,1
JHALUKA COLLEGE,126663,College,RAJSHAHI,DURGAPUR,JHALUKA,88.71981,24.43817,1883,1
HAT KANPARA ZOBEDA DEGREE COLLEGE,126661,College,RAJSHAHI,DURGAPUR,KHIDRA KHALSI,88.78119,24.42128,1884,1
DAOKANDI DEGREE COLLEGE,126660,College,RAJSHAHI,DURGAPUR,DAOKANDI,88.764,24.44394,1885,1
ALIPUR MODEL COLLEGE,126658,College,RAJSHAHI,DURGAPUR,ALIPUR,88.74117,24.50233,1886,1
NAOPARA COLLEGE,126666,College,RAJSHAHI,DURGAPUR,NOAPARA,88.79242,24.48636,1887,1
CHARGHAT WOMEN'S DEGREE COLLEGE,126587,College,RAJSHAHI,CHARGHAT,ARAZI SADIPUR,88.83719,24.31997,1888,1
SArDAH WOMEN'S COLLEGE,126588,College,RAJSHAHI,CHARGHAT,MOKTARPUR (EAST),88.75039,24.28553,1889,1
SARDAH MOHAVIDYALOYA,126582,College,RAJSHAHI,CHARGHAT,SARDAHA (WITH POLICE T.C),88.71731,24.31047,1890,1
CHARGHAT ALHAJJ M.A. HADI COLLEGE,126583,College,RAJSHAHI,CHARGHAT,CHARGHAT (SOUTH),88.74289,24.29308,1892,1
DAKRA DEGREE COLLEGE,126579,College,RAJSHAHI,CHARGHAT,DAKRA,88.82086,24.24581,1893,1
BHAYA LAXMIPUR BUDHIRHAT COLLEGE,126591,College,RAJSHAHI,CHARGHAT,BHAYA LAKSHMIPUR,88.80731,24.30047,1894,1
RAWTHA COLLEGE,126590,College,RAJSHAHI,CHARGHAT,RAOTA,88.76825,24.25386,1895,1
YOUSUFPUR COLLEGE,126580,College,RAJSHAHI,CHARGHAT,FUDKI PARA,88.72928,24.335,1896,1
SHAHID ZIAUR RAHMAN COLLEGE,126586,College,RAJSHAHI,CHARGHAT,GUABASNIA,88.69494,24.34322,1897,1
NANDANGA CHI DEGREE COLLEGE,126584,College,RAJSHAHI,CHARGHAT,BARKATPUR,88.83717,24.31942,1898,1
BORAL ADARSHO WOMEN COLLEGE,126589,College,RAJSHAHI,CHARGHAT,BARKATPUR,88.82819,24.33356,1899,1
SHOLUA DEGREE COLLEGE,126585,College,RAJSHAHI,CHARGHAT,DAULATPUR,88.78211,24.36225,1900,1
ARANI  DEGREE COLLEGE,126256,College,RAJSHAHI,BAGHA,JOTRAGHU (PART) UTTAR,88.79483,24.29611,1901,1
UPASHAHAR WOMANS COLLEGE,131993,College,RAJSHAHI,BOALIA,UPASHAHAR SECTION 2,88.8605,24.29111,1902,1
RAJSHAHI COLLEGE, RAJSHAHI,126490,College,RAJSHAHI,BOALIA,JOTE MAHESH,88.84303,24.25472,1903,1
MADAR BuX HOME ECONOMICS COLLEGE,127040,College,RAJSHAHI,BOALIA,NAMA BHADRA,88.62814,24.36203,1904,1
RAJSHAHI GOVT. CITY COLLEGE, RAJSHAHI,126489,College,RAJSHAHI,BOALIA,RAJAR HAT,88.59692,24.37964,1905,1
RAJSHAHI GOVT WOMEN'S COLLEGE, RAJSHAHI,126487,College,RAJSHAHI,BOALIA,KADERGANJ DARI KHARBONA,88.59519,24.36975,1906,1
SHAHID A.H.M. KAMARUZZAMAN DEGREE COLLEGE,126484,College,RAJSHAHI,BOALIA,UPASHAHAR SECTION 1,88.59981,24.36394,1907,1
ALHAJ SUJAUDDULA COLLEGE,126493,College,RAJSHAHI,BOALIA,CANTONMENT AREA,88.59836,24.38247,1908,1
BANGABANDHU DEGREE COLLEGE, RAJSHAHI,126485,College,RAJSHAHI,BOALIA,NAMA BHADRA,88.60153,24.37947,1909,1
SHAH MOKHDUM COLLEGE,126481,College,RAJSHAHI,BOALIA,PASCHIM RAMCHANDRAPUR,88.60222,24.36558,1910,1
BARENDRA COLLEGE,126488,College,RAJSHAHI,BOALIA,GHORAMARA,88.60578,24.3635,1911,1
BHABANIGONJ WOMENS DEGREE COLLEGE,126425,College,RAJSHAHI,BAGHMARA,DOGACHI,88.62569,24.3645,1912,1
BHABANIGANJ COLLEGE,126422,College,RAJSHAHI,BAGHMARA,BHAWABANI GONJ,88.60453,24.39267,1913,1
TAHERPUR DEGREE COLLEGE,126424,College,RAJSHAHI,BAGHMARA,TAHERPUR DAKSHIN,88.83569,24.58461,1915,2
DWIPNAGAR COLLEGE,126432,College,RAJSHAHI,BAGHMARA,DIPNAGAR,88.81658,24.55978,1916,1
HATGANGOPARA DEGREE COLLEGE,126426,College,RAJSHAHI,BAGHMARA,GANGA PARA,88.68781,24.63697,1917,1
M G (MOJOPARA HAT GANGOPARA) MOHILA COLLEGE,126435,College,RAJSHAHI,BAGHMARA,MAJH PARA,88.70581,24.58947,1918,1
SREEPUR RAMNAGAR DEGREE COLLEGE,126430,College,RAJSHAHI,BAGHMARA,SREEPUR RAMNAGAR,88.78714,24.56711,1919,1
DAMNASH COLLEGE,126434,College,RAJSHAHI,BAGHMARA,DAMNAS,88.73086,24.65583,1920,1
MARIA COLLEGE,126428,College,RAJSHAHI,BAGHMARA,MARIA,88.74139,24.677,1921,1
bagmra college,126423,College,RAJSHAHI,BAGHMARA,BAGHMARA,88.77653,24.54436,1922,1
MOHONGANJ DEGREE COLLEGE,126427,College,RAJSHAHI,BAGHMARA,MOHANGANJA,88.78731,24.54731,1923,1
SALEHA-IMARAT DEGREE COLLEGE,126419,College,RAJSHAHI,BAGHMARA,SANKOA,88.8605,24.58497,1924,1
PANIA NARDASH DEGREE COLLEGE,126420,College,RAJSHAHI,BAGHMARA,NARDAS,88.77683,24.62764,1925,1
GORSAR TECHNICALAND B.M.COLLEGEG,132031,College,RAJSHAHI,BAGHMARA,GORSAR,88.8085,24.65786,1926,1
NASIRGONJ COLLEGE,126431,College,RAJSHAHI,BAGHMARA,SHIMLA,88.76225,24.64625,1927,1
MACHMAIL DEGREE COLLEGE,126421,College,RAJSHAHI,BAGHMARA,MACHMAIL,88.75717,24.59733,1928,1
SAYEDPUR MOCHMOIL WOMENS COLLEGE,126433,College,RAJSHAHI,BAGHMARA,SAIADPUR,88.73356,24.62306,1929,1
ADARSHA TECHNICAL AND B. M. COLLEGE,132007,College,RAJSHAHI,BAGHMARA,CHANDPARA,88.73517,24.60647,1930,1
MOZAHAR HOSSAIN MOHILA DEGREE COLLEGE,126257,College,RAJSHAHI,BAGHA,UTTAR MILLIK BAGHA PURBA,88.84444,24.21817,1931,2
SHAHDOWLA DEGREE COLLEGE,126255,College,RAJSHAHI,BAGHA,MILLIK BAGHA PURBA,88.81803,24.20325,1932,1
BAUSHA  MOHABIDALAYA,126259,College,RAJSHAHI,BAGHA,BAUSA,88.88442,24.24175,1933,1
ShARIFABAD COLLEGE,126260,College,RAJSHAHI,BAGHA,SARIFABAD,88.84225,24.24506,1934,1
ABDUL  GANI COLLEGE,126258,College,RAJSHAHI,BAGHA,SARERHAT,88.88311,24.1555,1935,1
MIRGONZ COLLEGE,126262,College,RAJSHAHI,BAGHA,BHANUKAR,88.749,24.22856,1936,1
MONIGRAM ADARSHA COLLEGE,126263,College,RAJSHAHI,BAGHA,MANIGRAM,88.80969,24.21103,1937,1
AMRITAPUR DAKHIL MADRASA,127111,Madrasha,RAJSHAHI,TANORE,AZIZPUR,88.13539,24.6935,8855,1
CHINaSHO SENIOR ALIM MADRaSHA,127107,Madrasha,RAJSHAHI,TANORE,PACHANDAR,88.10589,24.68086,8856,1
MOYENPUR ALITOLA DAKHIL MADRASAh,127120,Madrasha,RAJSHAHI,TANORE,SHAMSPUR,88.12753,24.66392,8857,1
MuNDOMALa  balika DAKhIL MADRASAh,127125,Madrasha,RAJSHAHI,TANORE,SHAMSPUR,88.09608,24.67489,8858,1
SARAN JAI DAKHIL MADRASHA,127114,Madrasha,RAJSHAHI,TANORE,SARANJAI,88.58803,24.54633,8859,1
GOKUL MOTHURA DAKHIL MADRASHA,127121,Madrasha,RAJSHAHI,TANORE,GOKUL,88.55517,24.66964,8860,1
CHANDPUR DAKHIL MADRASHA,127113,Madrasha,RAJSHAHI,TANORE,CHANDPUR,88.46261,24.58611,8861,1
CHAPRA SHISHU SADON DAKHIL MADRASAH,127127,Madrasha,RAJSHAHI,TANORE,CHAPRA,88.54789,24.54486,8862,1
AL-MADRASAHTUL ISLAHIA MADRASHA,127112,Madrasha,RAJSHAHI,TANORE,PASCHIM TANORE,88.58108,24.61286,8863,1
TANORE POROSHOVA DAKHIL MADRASHA,127122,Madrasha,RAJSHAHI,TANORE,MATHURAPUR,88.57497,24.59,8864,1
JIOL DARUS SUNNAH DAKHIL MADRASHA,127118,Madrasha,RAJSHAHI,TANORE,ZIOL,88.57681,24.57667,8865,1
PACHANDAR MOHILA DAKHIL MADRASHA,127132,Madrasha,RAJSHAHI,TANORE,PACHANDAR,88.57556,24.55036,8866,1
MUNDUMALA KAMIL MADRASAH,127106,Madrasha,RAJSHAHI,TANORE,PACHANDAR,88.56872,24.54153,8867,1
BODDOPUR DARUS SALAM DAKHIL MADRASHA,127119,Madrasha,RAJSHAHI,TANORE,BAIDYAPUR,88.46883,24.57889,8868,1
DIBBOSTHOLI DAKHIL MADRA ASH,127126,Madrasha,RAJSHAHI,TANORE,DIBYASTHALI,88.50722,24.66786,8869,1
KALMA ISLAMIA ALIM MADRASHA,127110,Madrasha,RAJSHAHI,TANORE,KALMA,88.53261,24.6665,8870,1
NORIAL DARUL HADIS ISLAMIA ALIM  MADRASAH,127116,Madrasha,RAJSHAHI,TANORE,PIPRA,88.51642,24.68781,8871,1
KADIRPUR DAKHIL MADRASAH,127131,Madrasha,RAJSHAHI,TANORE,KADIRPUR,88.56839,24.65794,8872,1
KRISNAPUR BAITUL NUR GIRLS DAKHIL MADRASAH,127129,Madrasha,RAJSHAHI,TANORE,KRISHNAPUR,88.52622,24.587,8873,1
HAPANIA DOGACHI JANNATUL ULUL ALIM MADRASHA,127109,Madrasha,RAJSHAHI,TANORE,HAPANIA,88.61058,24.63544,8874,1
DEWLA DAKHILL MADRASHA,127128,Madrasha,RAJSHAHI,TANORE,DEULA,88.60769,24.64256,8875,1
RAJSHAHI DARUS SALAM KAMIL MADRASHA,127036,Madrasha,RAJSHAHI,RAJPARA,MOHISH BATHAN,88.56678,24.3825,8876,1
MOSZID-E-NOOR DAKHIL MADRASA,126479,Madrasha,RAJSHAHI,RAJPARA,BIL SIMLA (OLD),88.57397,24.36881,8877,1
DIGHAL KANDI DAKHIL MADRASHA,126994,Madrasha,RAJSHAHI,PUTHIA,DIGHALKANDI,88.75439,24.36658,8878,1
BIRALDAH S.K.A.D.S FAZIL MADRASHA,126996,Madrasha,RAJSHAHI,PUTHIA,MAIPARA,88.79908,24.36683,8879,1
MONGOL PARA DAKHIL MADRASHA,126998,Madrasha,RAJSHAHI,PUTHIA,MANGAL PARA,88.78833,24.38033,8880,1
JAMIRA JAMIA ISLAMIA ALIM MADRASHA,127002,Madrasha,RAJSHAHI,PUTHIA,JAMIRA,88.74883,24.39767,8881,1
BHALUCK GACHI PACHANI PARA DAKHIL MADRASHA,126995,Madrasha,RAJSHAHI,PUTHIA,TARAF BHALUKGACHHI,88.72489,24.36703,8882,1
CHAKDOMADI AYNUL ULUM ALIM MADRASAH,127001,Madrasha,RAJSHAHI,PUTHIA,CHAK DAMADI,88.83292,24.39922,8883,1
DHOPAPARA MOHONPUR ALIM MADRASAH,126997,Madrasha,RAJSHAHI,PUTHIA,DHOPA PARA,88.8885,24.42575,8884,1
KANDRA DAKHIL MADRASHA,127003,Madrasha,RAJSHAHI,PUTHIA,KANDRA,88.85211,24.41042,8885,1
SATBARIA DAKHIL MADRASAH,127006,Madrasha,RAJSHAHI,PUTHIA,SATBARIA,88.86878,24.39806,8886,1
AMRITA PARA DAKHIL MADRASAH,127000,Madrasha,RAJSHAHI,PUTHIA,AMRITA PARA,88.87942,24.48019,8887,1
KAPASIA DAKHIL MADRASA,126925,Madrasha,RAJSHAHI,PABA,KAPASIA,88.84678,24.46503,8888,1
SHYMPUR DAKHIL MADRASHA,126923,Madrasha,RAJSHAHI,PABA,SHYAMPUR MAULAVIPARA,88.87775,24.48197,8889,1
NAOHATA SALEHIA DARUSSUNNAT FAZIL MADRASAH,126905,Madrasha,RAJSHAHI,PABA,NOAHATA,88.68381,24.35742,8890,1
NAWHATTA ANJUMANE TAWHEED DAKHIL MADRASHA,126903,Madrasha,RAJSHAHI,PABA,NOAHATA,88.67344,24.36836,8891,1
TEGHOR DAKHIL MADRASHA,126921,Madrasha,RAJSHAHI,PABA,TEGHAR,88.61539,24.45542,8892,1
THALTA DAKHIL MADRASHA,126920,Madrasha,RAJSHAHI,PABA,THALTA,88.61125,24.46453,8893,1
SINDUR KUSUMBI NAMOPARA DAKHIL MADRASHA,126912,Madrasha,RAJSHAHI,PABA,SONA PARA,88.5895,24.47447,8894,1
DADPUR Dakhil  MADRASHA,126907,Madrasha,RAJSHAHI,PABA,DADPUR,88.70042,24.50256,8895,1
SHANTINAGAR DAKHIL MADRASHA,126924,Madrasha,RAJSHAHI,PABA,HARISAR DAING,88.678,24.50492,8896,1
SITLAI RAFATULLAH ALIM MADRASAH,126904,Madrasha,RAJSHAHI,PABA,SITLAI,88.66411,24.47372,8897,1
BAGSOIL DAKHIL MADRASAH,126916,Madrasha,RAJSHAHI,PABA,BAGHSAIL,88.55353,24.41703,8898,1
TALUK DHARMOPUR DAKHIL MADRASA,126918,Madrasha,RAJSHAHI,PABA,TALUK DHARMAPUR,88.55342,24.41706,8899,1
ALIGANJ DARUS SUNNAT ALIM MADRASAH,126910,Madrasha,RAJSHAHI,PABA,ALIGANJ,88.58342,24.38633,8900,1
DEWAN MOHAMMADIA ALIM MADRASHA,126913,Madrasha,RAJSHAHI,PABA,BALIA,88.54697,24.38436,8901,1
DARUL ISLAM DAKHIL MADRASHA,126919,Madrasha,RAJSHAHI,PABA,KUKHANDI,88.53792,24.38089,8902,1
ZAGIR PARA DARUL ULUM DAKHIL MADRASHA,126909,Madrasha,RAJSHAHI,PABA,JAGIR,88.54558,24.38408,8903,1
KHOLABONA ALIM MADRASHA,126911,Madrasha,RAJSHAHI,PABA,KASBA,88.70544,24.39347,8904,1
DARUSHA KENDRIO DAKHIL MADRASHA,126906,Madrasha,RAJSHAHI,PABA,HUZURI PARA,88.49581,24.37072,8905,1
DARUSHA ISLAMIA DAKHIL MADRASAH,126917,Madrasha,RAJSHAHI,PABA,HUZURI PARA,88.57761,24.44156,8906,1
TENTULIA DANGA S.U. DAKHIL MADRASHA,126908,Madrasha,RAJSHAHI,PABA,TENTULIA DANGA,88.55633,24.44689,8907,1
BASHIRABAD DAWATUL ISLAM ALIM MADRASAH,126915,Madrasha,RAJSHAHI,PABA,KECHUATAIL,88.64872,24.39508,8908,1
PURAPUKUR DAKHIL MADRASHA,126922,Madrasha,RAJSHAHI,PABA,PURAPUKUR,88.64892,24.39914,8909,1
SARANGPUR DAKHIL MADRASHA,126914,Madrasha,RAJSHAHI,PABA,SARANGPUR,88.63753,24.42047,8910,1
RAJSHAHI DARUS SUNNAH DAKHILA MADRASA,126771,Madrasha,RAJSHAHI,MATIHAR,GOPAIL,88.64183,24.36156,8911,1
BUDHPARA ALIM MADRASHA,126480,Madrasha,RAJSHAHI,MATIHAR,BUDHPARA,88.64353,24.3665,8912,1
SaIDHARA MAHILA DAKHIL MADRASHA,126409,Madrasha,RAJSHAHI,BAGHMARA,SAIDHARA,88.64372,24.36619,8913,1
BAKSOIL MOHILA DAKHIL MADRASAH,126836,Madrasha,RAJSHAHI,MOHANPUR,BARAIL,88.65294,24.59464,8914,1
SHAKOWA BAKSOIL KAMIL MADRASHA,126821,Madrasha,RAJSHAHI,MOHANPUR,SAKOA,88.654,24.59094,8915,1
KALIGAO KHAJURA DAKHIL MADRASHA,126835,Madrasha,RAJSHAHI,MOHANPUR,MAUGACHHI,88.64003,24.52264,8916,1
MOHANPUR MOHILA DAKHIL MADRASHA,126839,Madrasha,RAJSHAHI,MOHANPUR,MOHANPUR,88.65925,24.52206,8917,1
DHURAIL ISLAMIA GIRLS DAKHIL MADRASHA,126831,Madrasha,RAJSHAHI,MOHANPUR,DHURAIL,88.63725,24.58694,8918,1
CHAK KRISHNAPUR ISLAMIA DAKHIL MADRASHA,126833,Madrasha,RAJSHAHI,MOHANPUR,CHAK KRISHNAPUR,88.66425,24.59972,8919,1
DHURAIL D. S KAMIL MADRASAH,126822,Madrasha,RAJSHAHI,MOHANPUR,DHURAIL,88.60347,24.54561,8920,1
PANCHPARA DARUL FALAH DAKHIL MADRASAH,126832,Madrasha,RAJSHAHI,MOHANPUR,PANCH PARA,88.58342,24.53119,8921,1
MOHOABBOTPUR DARUL ULUM ALIM MADRASA,126824,Madrasha,RAJSHAHI,MOHANPUR,MAHABBATPUR,88.60497,24.56144,8922,1
GOCHHA DAKHIL MADRASA,126834,Madrasha,RAJSHAHI,MOHANPUR,GOCHHA,88.60247,24.53022,8923,1
MOHANPUR HASSANIA T.M. ALIM MADRASHA,126827,Madrasha,RAJSHAHI,MOHANPUR,MOHANPUR,88.63469,24.56664,8924,1
ATRAI ALIM MADRASHA,126826,Madrasha,RAJSHAHI,MOHANPUR,ATRAI,88.62236,24.59122,8925,1
MOHISKUNDI DAKHIL MADRASAH,126823,Madrasha,RAJSHAHI,MOHANPUR,MAHISHKUNDI,88.61056,24.58636,8926,1
KOTALIPARA  & HASNABAD DAKHIL MADRASAH,126820,Madrasha,RAJSHAHI,MOHANPUR,DHORSA,88.70289,24.52506,8927,1
JAHANABAD DAKHIL MADRASA,126819,Madrasha,RAJSHAHI,MOHANPUR,JAHANABAD,88.70511,24.54011,8928,1
NAOGAON DAKHIL MADRASAH,126838,Madrasha,RAJSHAHI,MOHANPUR,DHAMDAMA HATRA,88.69297,24.51992,8929,1
BASANTA KADER DARUSSUNNAT DAKHIL MADRASHA,126829,Madrasha,RAJSHAHI,MOHANPUR,BASANTA KEDAR,88.63681,24.48469,8930,1
GOPALPUR DARUL HADIS DAKHIL MADRASA,126837,Madrasha,RAJSHAHI,MOHANPUR,GOPALPUR,88.58964,24.50322,8931,1
